name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
warsaw,2021-08-02,21.4,15,17.7,21.4,15,17.7,14.1,80.6,24.17,100,37.5,rain,0,0,43.2,25.1,272.6,1007.8,69.1,13.9,149.3,12.7,6,,2021-08-02T04:58:29,2021-08-02T20:24:58,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-03,23.3,13.2,18.7,23.3,13.2,18.7,11.3,64.3,0,0,0,,0,0,39.6,15,234.3,1013.9,30.2,18.7,228.3,19.7,7,,2021-08-03T05:00:03,2021-08-03T20:23:14,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-04,19.5,14.6,16.6,19.5,14.6,16.6,14.6,88.2,13.56,100,12.5,rain,0,0,7.2,8.8,190.9,1014.3,50.3,16,87.1,7.6,4,,2021-08-04T05:01:37,2021-08-04T20:21:28,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-05,18.4,12.2,15.9,18.4,12.2,15.9,14.2,89.6,0.75,100,16.67,rain,0,0,21.6,20.7,56.5,1010.6,52.2,12.6,96.8,8.3,3,,2021-08-05T05:03:12,2021-08-05T20:19:40,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-06,15.8,13.4,14.7,15.8,13.4,14.7,13.9,95.2,30.58,100,66.67,rain,0,0,43.2,26.2,327,1000,90.4,9.4,54.2,4.6,2,,2021-08-06T05:04:48,2021-08-06T20:17:51,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-07,24.6,13.5,18.8,24.6,13.5,18.8,13.6,73.9,2.06,100,25,rain,0,0,43.2,24.7,252.3,1006.7,38.4,16.2,229.7,19.6,7,,2021-08-07T05:06:24,2021-08-07T20:16:00,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-08,24.3,16,19.4,24.3,16,19.4,15.6,79.5,0.52,100,12.5,rain,0,0,43.2,21.1,200.7,1010.8,51,18.4,118.2,10.1,5,,2021-08-08T05:08:00,2021-08-08T20:14:08,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-09,24.5,15.5,20.1,24.5,15.5,20.1,13.5,68.6,0.1,100,4.17,rain,0,0,36,15.9,248.5,1018.1,26.3,18.4,246.1,21.2,7,,2021-08-09T05:09:37,2021-08-09T20:12:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-10,25.7,13,18.2,25.7,13,18.2,13.9,78.7,11.44,100,25,rain,0,0,72,14.7,115.4,1018.2,44.2,16.7,156.6,13.5,6,,2021-08-10T05:11:14,2021-08-10T20:10:19,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-11,22.4,14.3,18.2,22.4,14.3,18.2,14.1,79,1.96,100,8.33,rain,0,0,36.4,21.6,274.3,1016.7,60.6,12.1,186.1,16,6,,2021-08-11T05:12:52,2021-08-11T20:08:22,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-12,23.5,12.2,18.1,23.5,12.2,18.1,12.4,71.8,0,0,0,,0,0,21.6,18.7,274.2,1021.3,15.2,17.1,216.3,18.6,7,,2021-08-12T05:14:29,2021-08-12T20:06:24,0.09,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-13,26.2,12.6,20.2,26.2,12.6,20.2,13,66.6,0,0,0,,0,0,10.8,11.8,159.4,1022.5,18.9,16,207.8,18.3,7,,2021-08-13T05:16:07,2021-08-13T20:04:25,0.13,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-14,28.4,15.5,22.1,29,15.5,22.3,16.1,70.3,0,0,0,,0,0,18,18.4,227.4,1018,34.4,17.4,206.6,17.9,6,,2021-08-14T05:17:45,2021-08-14T20:02:24,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-15,27.5,14.1,21.6,27.6,14.1,21.6,15,69.8,0,0,0,,0,0,21.6,22.5,276.6,1014,26.2,15.2,189.7,16.3,6,,2021-08-15T05:19:23,2021-08-15T20:00:22,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-16,29.4,17.3,21.6,30.1,17.3,21.7,16.6,75.2,27.24,100,12.5,rain,0,0,64.8,16,168.5,1008.4,40,16.5,142.1,12.4,5,,2021-08-16T05:21:02,2021-08-16T19:58:19,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-17,18.8,13.8,16.7,18.8,13.8,16.7,12.6,77.9,9.3,100,20.83,rain,0,0,39.6,22.7,250,1009.6,58.5,15.5,112.9,9.6,4,,2021-08-17T05:22:40,2021-08-17T19:56:15,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-18,20,12.9,16.3,20,12.9,16.3,10.2,68,0,0,0,,0,0,36,20.4,234.6,1012.1,47.7,18.9,157.7,13.6,5,,2021-08-18T05:24:19,2021-08-18T19:54:10,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-19,21.2,13.9,17.9,21.2,13.9,17.9,12.3,70.1,0,0,0,,0,0,39.6,17.5,231.6,1011.7,49.9,18.6,119.8,10.4,4,,2021-08-19T05:25:57,2021-08-19T19:52:04,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-20,23.2,13,18.3,23.2,13,18.3,14.3,78.6,4.24,100,12.5,rain,0,0,52.9,27.3,236.4,1015.5,56.2,16.4,175,15.2,8,,2021-08-20T05:27:36,2021-08-20T19:49:57,0.48,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-21,21.4,13.6,17,21.4,13.6,17,13.7,82.4,0.68,100,4.17,rain,0,0,14.4,16.5,263.1,1018.5,56,13.4,118.2,10.4,5,,2021-08-21T05:29:15,2021-08-21T19:47:48,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-22,22.3,11,17.1,22.3,11,17.1,12.9,78.2,0,0,0,,0,0,0,13.5,127.7,1019,40.2,16.3,164.7,14.4,6,,2021-08-22T05:30:54,2021-08-22T19:45:39,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
warsaw,2021-08-23,18.7,15.8,17.1,18.7,15.8,17.1,14.1,83.5,15.16,100,50,rain,0,0,,22.1,72.3,1017.4,72.8,13.9,83.7,7,2,,2021-08-23T05:32:32,2021-08-23T19:43:29,0.51,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-24,15.9,12,14.6,15.9,12,14.6,10.8,78.9,2.22,100,8.33,rain,0,0,39.6,22.4,8.5,1020.8,58.7,17.2,104.3,8.7,3,,2021-08-24T05:34:11,2021-08-24T19:41:18,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-25,16,6.6,12.4,16,5.1,12,8.1,76.2,0,0,0,,0,0,,14.3,271.7,1017.6,49.2,17.5,152.9,13,4,,2021-08-25T05:35:50,2021-08-25T19:39:07,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-26,17.3,11.8,13.6,17.3,11.8,13.6,12,90.4,8.22,100,41.67,rain,0,0,7.2,12.6,183.1,1006,84.8,14,128.6,10.9,4,,2021-08-26T05:37:29,2021-08-26T19:36:54,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-27,17.8,12.2,14.9,17.8,12.2,14.9,12.6,87,0,0,0,,0,0,7.2,12.2,13.1,1010.3,71.5,13.7,155.1,13.3,5,,2021-08-27T05:39:08,2021-08-27T19:34:41,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-28,18.5,12,14.7,18.5,12,14.7,12.5,87.6,0.7,100,29.17,rain,0,0,3.6,11.5,271.8,1013.1,57.2,11.5,143.2,12,3,,2021-08-28T05:40:47,2021-08-28T19:32:27,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-29,19,8.9,14.2,19,8.9,14.2,11.7,86.1,0,0,0,,0,0,7.2,7.3,146.9,1013.2,38.4,13,135.5,11.5,3,,2021-08-29T05:42:26,2021-08-29T19:30:12,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
warsaw,2021-08-30,17.4,11.2,14.4,17.4,11.2,14.4,13.1,92.2,14.97,100,29.17,rain,0,0,7.2,14.5,12.8,1010.8,70.8,9.5,102.6,8.8,3,,2021-08-30T05:44:04,2021-08-30T19:27:57,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO,F1868"
